Name,Year,Category,Countries,Gender,Description,Details
Paul Lauterbur,2003,Physiology or Medicine,United States,Man,,
Hugh David Politzer,2004,Physics,United States,Man,,
Avram Hershko,2004,Chemistry,"Hungary, Israel",Man,,
Aaron Ciechanover,2004,Chemistry,Israel,Man,,
Finn E. Kydland,2004,Economics,Norway,Man,,
Edward C. Prescott,2004,Economics,United States,Man,,
Frank Wilczek,2004,Physics,United States,Man,,
Irwin Rose,2004,Chemistry,United States,Man,,
Richard Axel,2004,Physiology or Medicine,United States,Man,,
David Gross,2004,Physics,United States,Man,,
Robin Warren,2005,Physiology or Medicine,Australia,Man,,
Barry Marshall,2005,Physiology or Medicine,Australia,Man,,
Mohamed ElBaradei,2005,Peace,Egypt,Man,,
Yves Chauvin,2005,Chemistry,France,Man,,
Theodor W. Hänsch,2005,Physics,Germany,Man,,
Robert Aumann,2005,Economics,"Israel, United States",Man,,
Harold Pinter,2005,Literature,United Kingdom,Man,,
John L. Hall,2005,Physics,United States,Man,,
Richard R. Schrock,2005,Chemistry,United States,Man,,
Robert H. Grubbs,2005,Chemistry,United States,Man,,
Roy J. Glauber,2005,Physics,United States,Man,,
Thomas Schelling,2005,Economics,United States,Man,,
Muhammad Yunus,2006,Peace,Bangladesh,Man,,
Orhan Pamuk,2006,Literature,Turkey,Man,,
John C. Mather,2006,Physics,United States,Man,,
Roger D. Kornberg,2006,Chemistry,United States,Man,,
Andrew Fire,2006,Physiology or Medicine,United States,Man,,
Craig Mello,2006,Physiology or Medicine,United States,Man,,
Edmund Phelps,2006,Economics,United States,Man,,
George Smoot,2006,Physics,United States,Man,,
Martin Evans,2007,Physiology or Medicine,United Kingdom,Man,,
Peter Grünberg,2007,Physics,"Czech Republic, Germany",Man,,
Albert Fert,2007,Physics,France,Man,,
Gerhard Ertl,2007,Chemistry,Germany,Man,,
Mario Capecchi,2007,Physiology or Medicine,"Italy, United States",Man,,
Leonid Hurwicz,2007,Economics,"Poland, Russia and Soviet Union, United States",Man,,
Oliver Smithies,2007,Physiology or Medicine,"United Kingdom, United States",Man,,
Al Gore,2007,Peace,United States,Man,,
Eric Maskin,2007,Economics,United States,Man,,
Roger Myerson,2007,Economics,United States,Man,,
Martti Ahtisaari,2008,Peace,Finland,Man,,
J. M. G. Le Clézio,2008,Literature,France,Man,,
Luc Montagnier,2008,Physiology or Medicine,France,Man,,
Harald zur Hausen,2008,Physiology or Medicine,Germany,Man,,
Makoto Kobayashi,2008,Physics,Japan,Man,,
Toshihide Maskawa,2008,Physics,Japan,Man,,
Osamu Shimomura,2008,Chemistry,"Japan, United States",Man,,
Yoichiro Nambu,2008,Physics,"Japan, United States",Man,,
Martin Chalfie,2008,Chemistry,United States,Man,,
Paul Krugman,2008,Economics,United States,Man,,
Roger Y. Tsien,2008,Chemistry,United States,Man,,
Jack W. Szostak,2009,Physiology or Medicine,"Canada, United States",Man,,
Willard S. Boyle,2009,Physics,"Canada, United States",Man,,
Charles K. Kao,2009,Physics,"China, Republic of, Hong Kong, United Kingdom, United States",Man,,
Venkatraman Ramakrishnan,2009,Chemistry,"India, United States",Man,,
George E. Smith,2009,Physics,United States,Man,,
Thomas A. Steitz,2009,Chemistry,United States,Man,,
Barack Obama,2009,Peace,United States,Man,,
Liu Xiaobo,2010,Peace,"China, People's Republic of",Man,,
Christopher A. Pissarides,2010,Economics,"Cyprus, United Kingdom",Man,,
Akira Suzuki,2010,Chemistry,Japan,Man,,
Ei-ichi Negishi,2010,Chemistry,"Japan, United States",Man,,
Andre Geim,2010,Physics,"Netherlands, Russia and Soviet Union",Man,,
Mario Vargas Llosa,2010,Literature,"Peru, Spain",Man,,
Konstantin Novoselov,2010,Physics,"Russia and Soviet Union, United Kingdom",Man,,
Robert G. Edwards,2010,Physiology or Medicine,United Kingdom,Man,,
Dale T. Mortensen,2010,Economics,United States,Man,,
Peter A. Diamond,2010,Economics,United States,Man,,
Richard F. Heck,2010,Chemistry,United States,Man,,
Brian Schmidt,2011,Physics,Australia,Man,,
Ralph M. Steinman,2011,Physiology or Medicine,"Canada, United States",Man,,
Jules A. Hoffmann,2011,Physiology or Medicine,"France, Luxembourg",Man,,
Dan Shechtman,2011,Chemistry,Israel,Man,,
Tomas Tranströmer,2011,Literature,Sweden,Man,,
Adam G. Riess,2011,Physics,United States,Man,,
Bruce Beutler,2011,Physiology or Medicine,United States,Man,,
Christopher A. Sims,2011,Economics,United States,Man,,
Saul Perlmutter,2011,Physics,United States,Man,,
Thomas J. Sargent,2011,Economics,United States,Man,,
Mo Yan,2012,Literature,"China, People's Republic of",Man,,
Serge Haroche,2012,Physics,France,Man,,
Shinya Yamanaka,2012,Physiology or Medicine,Japan,Man,,
John B. Gurdon,2012,Physiology or Medicine,United Kingdom,Man,,
Alvin E. Roth,2012,Economics,United States,Man,,
Brian K. Kobilka,2012,Chemistry,United States,Man,,
David J. Wineland,2012,Physics,United States,Man,,
Lloyd S. Shapley,2012,Economics,United States,Man,,
Robert J. Lefkowitz,2012,Chemistry,United States,Man,,
Martin Karplus,2013,Chemistry,"Austria, United States",Man,,
François Englert,2013,Physics,Belgium,Man,,
Thomas C. Südhof,2013,Physiology or Medicine,"Germany, United States",Man,,
Michael Levitt,2013,Chemistry,"Israel, South Africa, United Kingdom, United States",Man,,
Arieh Warshel,2013,Chemistry,"Israel, United States",Man,,
Peter W. Higgs,2013,Physics,United Kingdom,Man,,
Eugene F. Fama,2013,Economics,United States,Man,,
Lars Peter Hansen,2013,Economics,United States,Man,,
Robert J. Shiller,2013,Economics,United States,Man,,
James E. Rothman,2013,Physiology or Medicine,United States,Man,,
Randy W. Schekman,2013,Physiology or Medicine,United States,Man,,
Jean Tirole,2014,Economics,France,Man,,
Patrick Modiano,2014,Literature,France,Man,,
Stefan Hell,2014,Chemistry,"Germany, Romania",Man,,
Kailash Satyarthi,2014,Peace,India,Man,,
Hiroshi Amano,2014,Physics,Japan,Man,,
Isamu Akasaki,2014,Physics,Japan,Man,,
Shuji Nakamura,2014,Physics,"Japan, United States",Man,,
Edvard Moser,2014,Physiology or Medicine,Norway,Man,,
John O'Keefe,2014,Physiology or Medicine,"United Kingdom, United States",Man,,
Eric Betzig,2014,Chemistry,United States,Man,,
William Moerner,2014,Chemistry,United States,Man,,
Arthur B. McDonald,2015,Physics,Canada,Man,,
William C. Campbell,2015,Physiology or Medicine,"Ireland, United States",Man,,
Satoshi Ōmura,2015,Physiology or Medicine,Japan,Man,,
Takaaki Kajita,2015,Physics,Japan,Man,,
Tomas Lindahl,2015,Chemistry,"Sweden, United Kingdom",Man,,
Aziz Sancar,2015,Chemistry,"Turkey, United States",Man,,
Angus Deaton,2015,Economics,"United Kingdom, United States",Man,,
Paul L. Modrich,2015,Chemistry,United States,Man,,
Duncan Haldane,2016,Physics,"United Kingdom, United States",Man,,
Juan Manuel Santos,2016,Peace,Colombia,Man,,
Bengt R. Holmström,2016,Economics,Finland,Man,,
Jean-Pierre Sauvage,2016,Chemistry,France,Man,,
Yoshinori Ohsumi,2016,Physiology or Medicine,Japan,Man,,
Ben Feringa,2016,Chemistry,Netherlands,Man,,
David J. Thouless,2016,Physics,United Kingdom,Man,,
Fraser Stoddart,2016,Chemistry,"United Kingdom, United States",Man,,
John M. Kosterlitz,2016,Physics,"United Kingdom, United States",Man,,
Oliver Hart,2016,Economics,"United Kingdom, United States",Man,,
Bob Dylan,2016,Literature,United States,Man,,
Joachim Frank,2017,Chemistry,"Germany, United States",Man,,
Rainer Weiss,2017,Physics,"Germany, United States",Man,,
Kazuo Ishiguro,2017,Literature,"Japan, United Kingdom",Man,,
Jacques Dubochet,2017,Chemistry,Switzerland,Man,,
Richard Henderson,2017,Chemistry,United Kingdom,Man,,
Barry Barish,2017,Physics,United States,Man,,
Jeffrey C. Hall,2017,Physiology or Medicine,United States,Man,,
Kip Thorne,2017,Physics,United States,Man,,
Michael Rosbash,2017,Physiology or Medicine,United States,Man,,
Michael W. Young,2017,Physiology or Medicine,United States,Man,,
Richard Thaler,2017,Economics,United States,Man,,
Denis Mukwege,2018,Peace,"Congo, Democratic Republic",Man,,
Gérard Mourou,2018,Physics,France,Man,,
Tasuku Honjo,2018,Physiology or Medicine,Japan,Man,,
Greg Winter,2018,Chemistry,United Kingdom,Man,,
Arthur Ashkin,2018,Physics,United States,Man,,
George P. Smith,2018,Chemistry,United States,Man,,
James P. Allison,2018,Physiology or Medicine,United States,Man,,
"William Nordhaus
Paul Romer",2018,Economics,United States,Man,,
James Peebles,2019,Physics,"Canada, United States",Man,,
Peter Handke,2019,Literature,Austria,Man,,
Abiy Ahmed,2019,Peace,Ethiopia,Man,,
Abhijit Banerjee,2019,Economics,"India, United States",Man,,
Akira Yoshino,2019,Chemistry,Japan,Man,,
Didier Queloz,2019,Physics,Switzerland,Man,,
Michel Mayor,2019,Physics,Switzerland,Man,,
Peter J. Ratcliffe,2019,Physiology or Medicine,United Kingdom,Man,,
M. Stanley Whittingham,2019,Chemistry,"United Kingdom, United States",Man,,
Gregg L. Semenza,2019,Physiology or Medicine,United States,Man,,
John B. Goodenough,2019,Chemistry,United States,Man,,
Michael Kremer,2019,Economics,United States,Man,,
William Kaelin Jr.,2019,Physiology or Medicine,United States,Man,,
Institut de Droit International,1904,Peace,Belgium,Organization,,
International Peace Bureau,1910,Peace,-,Organization,,
International Committee of the Red Cross,1917,Peace,-,Organization,,
The Viscount Cecil of Chelwood,1937,Peace,United Kingdom,Organization,,
Nansen International Office For Refugees,1938,Peace,-,Organization,,
International Committee of the Red Cross,1944,Peace,-,Organization,,
Friends Service Council,1947,Peace,United Kingdom,Organization,,
American Friends Service Committee,1947,Peace,United States,Organization,,
United Nations High Commissioner for Refugees,1954,Peace,-,Organization,,
International Committee of the Red Cross,1963,Peace,-,Organization,,
League of Red Cross societies,1963,Peace,-,Organization,,
United Nations International Children's Emergency Fund,1965,Peace,-,Organization,,
International Labour Organization,1969,Peace,-,Organization,,
Amnesty International,1977,Peace,United Kingdom,Organization,,
United Nations High Commissioner for Refugees,1981,Peace,-,Organization,,
International Physicians for the Prevention of Nuclear War,1985,Peace,-,Organization,,
United Nations Peace-Keeping Forces,1988,Peace,-,Organization,,
Pugwash Conferences on Science and World Affairs,1995,Peace,Canada,Organization,,
International Campaign to Ban Landmines,1997,Peace,-,Organization,,
Médecins Sans Frontières,1999,Peace,France,Organization,,
United Nations,2001,Peace,-,Organization,,
International Atomic Energy Agency,2005,Peace,Austria,Organization,,
Grameen Bank,2006,Peace,Bangladesh,Organization,,
Intergovernmental Panel on Climate Change,2007,Peace,-,Organization,,
European Union,2012,Peace,-,Organization,,
Organisation for the Prohibition of Chemical Weapons,2013,Peace,Netherlands,Organization,,
Tunisian National Dialogue Quartet,2015,Peace,Tunisia,Organization,,
International Campaign to Abolish Nuclear Weapons,2017,Peace,-,Organization,,
Ada Yonath,2009,Chemistry,Israel,Woman,"""For studies of the structure and function of the ribosome""",
Alice Munro,2013,Literature,Canada,Woman,"""Master of the contemporary short story""",
Alva Myrdal,1982,Peace,Sweden,Woman,"""Former Cabinet Minister; Diplomat; Writer.""",
Aung San Suu Kyi,1991,Peace,Burma,Woman,"""For her non-violent struggle for democracy and human rights""",
Barbara McClintock,1983,Physiology or Medicine,United States,Woman,"""For her discovery of mobile genetic elements""",
Bertha von Suttner,1905,Peace,Czech Republic,Woman,"""Honorary President of Permanent International Peace Bureau, Bern, Switzerland; Author of ""Lay Down Your Arms"".""","Born in the Austrian Empire, now Czech Republic"
Betty Williams,1976,Peace,"Ireland, United Kingdom",Woman,"""Founder of the Northern Ireland Peace Movement (later renamed Community of Peace People)""","Born in North Ireland, part of the UK"
Carol W. Greider,2009,Physiology or Medicine,United States,Woman,"""For the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",
Christiane Nüsslein-Volhard,1995,Physiology or Medicine,Germany,Woman,"""For their discoveries concerning the genetic control of early embryonic development""",
Donna Strickland,2018,Physics,Canada,Woman,"""For their method of generating high-intensity, ultra-short optical pulses""",
Doris Lessing,2007,Literature,"Iran, United Kingdom",Woman,"""That epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny""","Born in Iran, worked in the UK"
Dorothy Hodgkin,1964,Chemistry,United Kingdom,Woman,"""For her determinations by X-ray techniques of the structures of important biochemical substances""",
Elfriede Jelinek,2004,Literature,Austria,Woman,"""For her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clichés and their subjugating power""",
Elinor Ostrom,2009,Economics,United States,Woman,"""For her analysis of economic governance, especially the commons""",
Elizabeth Blackburn,2009,Physiology or Medicine,"Australia, United States",Woman,"""For the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""","Born in Australia, worked in the US"
Ellen Johnson Sirleaf,2011,Peace,Liberia,Woman,"""For their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work""",
Emily Greene Balch,1946,Peace,United States,Woman,"""Formerly Professor of History and Sociology; Honorary International President, Women's International League for Peace and Freedom.""",
Esther Duflo,2019,Economics,"France, United States",Woman,"""For their experimental approach to alleviating global poverty""","Born in France, worked in the US"
Frances H. Arnold,2018,Chemistry,United States,Woman,"""For the directed evolution of enzymes""",
Françoise Barré-Sinoussi,2008,Physiology or Medicine,France,Woman,"""For their discovery of HIV, human immunodeficiency virus""",
Gabriela Mistral,1945,Literature,Chile,Woman,"""For her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world""",
Gertrude B. Elion,1988,Physiology or Medicine,United States,Woman,"""For their discoveries of important principles for drug treatment""",
Gerty Cori,1947,Physiology or Medicine,"Czech Republic, United States",Woman,"""For their discovery of the course of the catalytic conversion of glycogen""","Born in the Austrian Empire (now Czech Republic), worked in the US"
Grazia Deledda,1926,Literature,Italy,Woman,"""For her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general""",
Herta Müller,2009,Literature,"Germany, Romania",Woman,"""Who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed""","Born in Romania, worked in Germany"
Irène Joliot-Curie,1935,Chemistry,France,Woman,"""For their synthesis of new radioactive elements""",
Jane Addams,1931,Peace,United States,Woman,"""Sociologist; International President, Women's International League for Peace and Freedom.",
Jody Williams,1997,Peace,United States,Woman,"""For their work for the banning and clearing of anti-personnel mines""",
Leymah Gbowee,2011,Peace,Liberia,Woman,"""For their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work""",
Linda B. Buck,2004,Physiology or Medicine,United States,Woman,"""For their discoveries of odorant receptors and the organization of the olfactory system""",
Mairead Maguire,1976,Peace,"Ireland, United Kingdom",Woman,"""Founder of the Northern Ireland Peace Movement (later renamed Community of Peace People)""","Born in North Ireland, part of the UK"
Malala Yousafzai,2014,Peace,Pakistan,Woman,"""For their struggle against the suppression of children and young people and for the right of all children to education"".",
Maria Goeppert-Mayer,1963,Physics,"Germany, United States",Woman,"""For their discoveries concerning nuclear shell structure""","Born in then Germany,  worked in the US"
Marie Skłodowska-Curie,1903,Physics,"France, Poland",Woman,"""In recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""","Born in Congress Poland, worked in France"
Marie Skłodowska-Curie,1911,Chemistry,"France, Poland",Woman,"""For her discovery of radium and polonium""","Born in Congress Poland, worked in France"
May-Britt Moser,2014,Physiology or Medicine,Norway,Woman,"""For their discoveries of cells that constitute a positioning system in the brain""",
Mother Teresa,1979,Peace,"India, North Macedonia",Woman,"""Leader of Missionaries of Charity, Calcutta.""","Born in then Ottoman Empire (now North Macedonia), worked in India"
Nadia Murad,2018,Peace,Iraq,Woman,"""For their efforts to end the use of sexual violence as a weapon of war and armed conflict""",
Nadine Gordimer,1991,Literature,South Africa,Woman,"""Who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity""",
Nelly Sachs,1966,Literature,"Germany, Sweden",Woman,"""For her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength""","Born in Germany, worked in Sweden"
Olga Tokarczuk,2018,Literature,Poland,Woman,“For a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life”,
Pearl S. Buck,1938,Literature,United States,Woman,"""For her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces""",
Rigoberta Menchú,1992,Peace,Guatemala,Woman,"""In recognition of her work for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples""",
Rita Levi-Montalcini,1986,Physiology or Medicine,"Italy, United States",Woman,"""For their discoveries of growth factors""","Born in Italy, worked in the USA"
Rosalyn Sussman Yalow,1977,Physiology or Medicine,United States,Woman,"""For the development of radioimmunoassays of peptide hormones""",
Selma Lagerlöf,1909,Literature,Sweden,Woman,"""In appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings""",
Shirin Ebadi,2003,Peace,Iran,Woman,"""For her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children""",
Sigrid Undset,1928,Literature,Norway,Woman,"""Principally for her powerful descriptions of Northern life during the Middle Ages""",
Svetlana Alexievich,2015,Literature,"Belarus, Ukraine",Woman,"""For her polyphonic writings, a monument to suffering and courage in our time""","Born in Ukraine, worked in Belarus"
Tawakkol Karman,2011,Peace,Yemen,Woman,"""For their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work""",
Toni Morrison,1993,Literature,United States,Woman,"""Who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality""",
Tu Youyou,2015,Physiology or Medicine,China,Woman,"""For her discoveries concerning a novel therapy against Malaria (artemisinin)""",
Wangari Maathai,2004,Peace,Kenya,Woman,"""For her contribution to sustainable development, democracy and peace""",
Wisława Szymborska,1996,Literature,Poland,Woman,"""For poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality""",
